prov;muni;namuni;surname;number;population;ni;pki
15;15061;Ortigueira;BLANCO;70;2594;25;0.026985351
15;15061;Ortigueira;ALVAREZ;70;2594;25;0.026985351
15;15061;Ortigueira;PENA;61;2594;25;0.023515806
15;15061;Ortigueira;SIERRA;64;2594;25;0.024672321
15;15061;Ortigueira;GONZALEZ;62;2594;25;0.023901311
15;15061;Ortigueira;YA?EZ;57;2594;25;0.021973786
15;15061;Ortigueira;VILLAR;51;2594;25;0.019660756
15;15061;Ortigueira;LORENZO;56;2594;25;0.021588281
15;15061;Ortigueira;BOUZA;58;2594;25;0.022359291
15;15901;Cari?;LOPEZ;183;1942;25;0.09423275
15;15901;Cari?;MARTINEZ;159;1942;25;0.081874356
15;15901;Cari?;RODRIGUEZ;147;1942;25;0.07569516
15;15901;Cari?;FERNANDEZ;113;1942;25;0.058187436
15;15901;Cari?;ARMADA;123;1942;25;0.063336766
15;15901;Cari?;PEREZ;106;1942;25;0.054582904
15;15901;Cari?;FRAGUELA;101;1942;25;0.052008239
15;15901;Cari?;GARCIA;66;1942;25;0.033985582
15;15901;Cari?;YA?EZ;83;1942;25;0.042739444
15;15901;Cari?;DIAZ;82;1942;25;0.042224511
15;15901;Cari?;VILLAR;70;1942;25;0.036045314
15;15901;Cari?;SANTIAGO;81;1942;25;0.041709578
15;15901;Cari?;QUIZA;59;1942;25;0.03038105
15;15901;Cari?;RUBIDO;60;1942;25;0.030895984
15;15901;Cari?;BREIJO;63;1942;25;0.032440783
15;15901;Cari?;CASTRO;47;1942;25;0.024201854
15;15901;Cari?;GONZALEZ;52;1942;25;0.026776519
15;15901;Cari?;LOZANO;42;1942;25;0.021627188
15;15901;Cari?;NOVO;45;1942;25;0.023171988
15;15901;Cari?;PITA;52;1942;25;0.026776519
15;15901;Cari?;MONTERO;36;1942;25;0.01853759
15;15901;Cari?;PENA;41;1942;25;0.021112255
15;15901;Cari?;GOMEZ;45;1942;25;0.023171988
15;15901;Cari?;RAMOS;40;1942;25;0.020597322
15;15901;Cari?;ORIZALES;46;1942;25;0.023686921
15;15022;Cedeira;PEREZ;445;3493;25;0.127397652
15;15022;Cedeira;GARCIA;422;3493;25;0.120813055
15;15022;Cedeira;RODRIGUEZ;396;3493;25;0.113369596
15;15022;Cedeira;LOPEZ;364;3493;25;0.104208417
15;15022;Cedeira;FERNANDEZ;184;3493;25;0.052676782
15;15022;Cedeira;MARTINEZ;167;3493;25;0.047809906
15;15022;Cedeira;DIAZ;147;3493;25;0.042084168
15;15022;Cedeira;ANEIROS;113;3493;25;0.032350415
15;15022;Cedeira;VILLAR;91;3493;25;0.026052104
15;15022;Cedeira;GONZALEZ;110;3493;25;0.031491555
15;15022;Cedeira;FREIRE;87;3493;25;0.024906957
15;15022;Cedeira;PITA;94;3493;25;0.026910965
15;15022;Cedeira;PI?ON;92;3493;25;0.026338391
15;15022;Cedeira;IGLESIAS;93;3493;25;0.026624678
15;15022;Cedeira;REY;59;3493;25;0.016890925
15;15022;Cedeira;LOURIDO;66;3493;25;0.018894933
15;15022;Cedeira;MUI?O;79;3493;25;0.022616662
15;15022;Cedeira;LOUREIRO;66;3493;25;0.018894933
15;15022;Cedeira;PRIETO;64;3493;25;0.018322359
15;15022;Cedeira;BELLON;70;3493;25;0.02004008
15;15022;Cedeira;PICOS;72;3493;25;0.020612654
15;15022;Cedeira;NEBRIL;47;3493;25;0.013455482
15;15022;Cedeira;FRAGUELA;49;3493;25;0.014028056
15;15022;Cedeira;LORENZO;54;3493;25;0.01545949
15;15022;Cedeira;YA?EZ;62;3493;25;0.017749785
15;15001;Abegondo;RODRIGUEZ;246;2336;25;0.105308219
15;15001;Abegondo;GARCIA;257;2336;25;0.110017123
15;15001;Abegondo;VAZQUEZ;160;2336;25;0.068493151
15;15001;Abegondo;LOPEZ;150;2336;25;0.064212329
15;15001;Abegondo;SANCHEZ;155;2336;25;0.06635274
15;15001;Abegondo;GOMEZ;155;2336;25;0.06635274
15;15001;Abegondo;FERNANDEZ;127;2336;25;0.054366438
15;15001;Abegondo;MARTINEZ;94;2336;25;0.040239726
15;15001;Abegondo;BARBEITO;74;2336;25;0.031678082
15;15001;Abegondo;PEREZ;69;2336;25;0.029537671
15;15001;Abegondo;CARRO;65;2336;25;0.027825342
15;15001;Abegondo;OTERO;73;2336;25;0.03125
15;15001;Abegondo;GONZALEZ;77;2336;25;0.032962329
15;15001;Abegondo;VARELA;55;2336;25;0.023544521
15;15001;Abegondo;BARROS;74;2336;25;0.031678082
15;15001;Abegondo;SUAREZ;56;2336;25;0.023972603
15;15001;Abegondo;SEOANE;63;2336;25;0.026969178
15;15001;Abegondo;ROEL;57;2336;25;0.024400685
15;15001;Abegondo;MOSQUERA;56;2336;25;0.023972603
15;15001;Abegondo;NAVEIRA;62;2336;25;0.026541096
15;15001;Abegondo;BELLO;46;2336;25;0.019691781
15;15001;Abegondo;FARI?A;46;2336;25;0.019691781
15;15001;Abegondo;BLANCO;37;2336;25;0.015839041
15;15001;Abegondo;CASTRO;43;2336;25;0.018407534
15;15001;Abegondo;BERMUDEZ;39;2336;25;0.016695205
15;15002;Ames;GARCIA;950;9247;25;0.102736022
15;15002;Ames;FERNANDEZ;929;9247;25;0.100465016
15;15002;Ames;RODRIGUEZ;784;9247;25;0.084784254
15;15002;Ames;GONZALEZ;658;9247;25;0.071158213
15;15002;Ames;LOPEZ;590;9247;25;0.063804477
15;15002;Ames;PEREZ;560;9247;25;0.060560182
15;15002;Ames;MARTINEZ;511;9247;25;0.055261166
15;15002;Ames;VAZQUEZ;469;9247;25;0.050719152
15;15002;Ames;GOMEZ;404;9247;25;0.043689845
15;15002;Ames;IGLESIAS;342;9247;25;0.036984968
15;15002;Ames;CASTRO;331;9247;25;0.035795393
15;15002;Ames;REY;291;9247;25;0.031469666
15;15002;Ames;OTERO;280;9247;25;0.030280091
15;15002;Ames;BLANCO;256;9247;25;0.027684654
15;15002;Ames;SUAREZ;252;9247;25;0.027252082
15;15002;Ames;SANCHEZ;206;9247;25;0.022277495
15;15002;Ames;ALVAREZ;195;9247;25;0.02108792
15;15002;Ames;VARELA;175;9247;25;0.018925057
15;15002;Ames;CALVO;173;9247;25;0.01870877
15;15002;Ames;BARREIRO;164;9247;25;0.017735482
15;15002;Ames;NIETO;161;9247;25;0.017411052
15;15002;Ames;VIDAL;154;9247;25;0.01665405
15;15002;Ames;DIAZ;153;9247;25;0.016545907
15;15002;Ames;DOMINGUEZ;123;9247;25;0.013301611
15;15002;Ames;MOSQUERA;136;9247;25;0.014707473
15;15003;Aranga;VAZQUEZ;137;1163;25;0.117798796
15;15003;Aranga;GARCIA;80;1163;25;0.068787618
15;15003;Aranga;LOPEZ;77;1163;25;0.066208083
15;15003;Aranga;PEREZ;70;1163;25;0.060189166
15;15003;Aranga;SANCHEZ;66;1163;25;0.056749785
15;15003;Aranga;RODRIGUEZ;79;1163;25;0.067927773
15;15003;Aranga;MARTINEZ;61;1163;25;0.052450559
15;15003;Aranga;FERNANDEZ;62;1163;25;0.053310404
15;15003;Aranga;FREIRE;74;1163;25;0.063628547
15;15003;Aranga;ARES;50;1163;25;0.042992261
15;15003;Aranga;DIAZ;49;1163;25;0.042132416
15;15003;Aranga;ABAD;41;1163;25;0.035253654
15;15003;Aranga;ROCA;31;1163;25;0.026655202
15;15003;Aranga;GOMEZ;22;1163;25;0.018916595
15;15003;Aranga;MACEIRAS;25;1163;25;0.021496131
15;15003;Aranga;VIDAL;35;1163;25;0.030094583
15;15003;Aranga;GONZALEZ;26;1163;25;0.022355976
15;15003;Aranga;DEIBE;20;1163;25;0.017196905
15;15003;Aranga;TIZON;22;1163;25;0.018916595
15;15003;Aranga;PAREDES;19;1163;25;0.016337059
15;15003;Aranga;BARRAL;22;1163;25;0.018916595
15;15003;Aranga;YA?EZ;24;1163;25;0.020636285
15;15003;Aranga;PRIETO;24;1163;25;0.020636285
15;15003;Aranga;CASTRO;20;1163;25;0.017196905
15;15003;Aranga;SANMARTIN;27;1163;25;0.023215821
15;15004;Ares;MARTINEZ;283;2371;25;0.11935892
15;15004;Ares;FERNANDEZ;255;2371;25;0.107549557
15;15004;Ares;GARCIA;258;2371;25;0.108814846
15;15004;Ares;RODRIGUEZ;181;2371;25;0.076339097
15;15004;Ares;LOPEZ;196;2371;25;0.082665542
15;15004;Ares;VARELA;118;2371;25;0.04976803
15;15004;Ares;PEREZ;85;2371;25;0.035849852
15;15004;Ares;SANCHEZ;88;2371;25;0.037115141
15;15004;Ares;GONZALEZ;59;2371;25;0.024884015
15;15004;Ares;DIAZ;97;2371;25;0.040911008
15;15004;Ares;VAZQUEZ;67;2371;25;0.028258119
15;15004;Ares;CASTRO;73;2371;25;0.030788697
15;15004;Ares;PENA;56;2371;25;0.023618726
15;15004;Ares;IGLESIAS;65;2371;25;0.027414593
15;15004;Ares;MONTERO;59;2371;25;0.024884015
15;15004;Ares;CARTELLE;61;2371;25;0.025727541
15;15004;Ares;REY;54;2371;25;0.0227752
15;15004;Ares;VILAR;48;2371;25;0.020244623
15;15004;Ares;LEIRA;42;2371;25;0.017714045
15;15004;Ares;PI?EIRO;39;2371;25;0.016448756
15;15004;Ares;BLANCO;34;2371;25;0.014339941
15;15004;Ares;GOMEZ;35;2371;25;0.014761704
15;15004;Ares;PERMUY;39;2371;25;0.016448756
15;15004;Ares;ROMERO;36;2371;25;0.015183467
15;15004;Ares;SAAVEDRA;43;2371;25;0.018135808
15;15005;Arteixo;GARCIA;1;10763;25;0.102016166
15;15005;Arteixo;RODRIGUEZ;1;10763;25;0.094676206
15;15005;Arteixo;MARTINEZ;862;10763;25;0.080089194
15;15005;Arteixo;VAZQUEZ;855;10763;25;0.079438818
15;15005;Arteixo;LOPEZ;828;10763;25;0.076930224
15;15005;Arteixo;FERNANDEZ;632;10763;25;0.058719688
15;15005;Arteixo;VARELA;583;10763;25;0.054167054
15;15005;Arteixo;SUAREZ;433;10763;25;0.040230419
15;15005;Arteixo;GONZALEZ;438;10763;25;0.040694974
15;15005;Arteixo;SOUTO;403;10763;25;0.037443092
15;15005;Arteixo;PEREZ;369;10763;25;0.034284122
15;15005;Arteixo;CASTRO;365;10763;25;0.033912478
15;15005;Arteixo;SANCHEZ;373;10763;25;0.034655765
15;15005;Arteixo;GOMEZ;336;10763;25;0.031218062
15;15005;Arteixo;IGLESIAS;304;10763;25;0.028244913
15;15005;Arteixo;REY;263;10763;25;0.024435566
15;15005;Arteixo;BLANCO;222;10763;25;0.020626219
15;15005;Arteixo;NAYA;216;10763;25;0.020068754
15;15005;Arteixo;ALVAREZ;230;10763;25;0.021369507
15;15005;Arteixo;DIAZ;200;10763;25;0.01858218
15;15005;Arteixo;ZAS;150;10763;25;0.013936635
15;15005;Arteixo;FRAGA;153;10763;25;0.014215367
15;15005;Arteixo;MENDEZ;148;10763;25;0.013750813
15;15005;Arteixo;A?ON;138;10763;25;0.012821704
15;15005;Arteixo;BARREIRO;145;10763;25;0.01347208
15;15006;Arz?;VAZQUEZ;300;2744;25;0.109329446
15;15006;Arz?;GARCIA;299;2744;25;0.108965015
15;15006;Arz?;LOPEZ;192;2744;25;0.069970845
15;15006;Arz?;RODRIGUEZ;183;2744;25;0.066690962
15;15006;Arz?;SANCHEZ;172;2744;25;0.062682216
15;15006;Arz?;FERNANDEZ;142;2744;25;0.051749271
15;15006;Arz?;CASTRO;110;2744;25;0.040087464
15;15006;Arz?;VARELA;110;2744;25;0.040087464
15;15006;Arz?;VILLAR;112;2744;25;0.040816327
15;15006;Arz?;CARRIL;84;2744;25;0.030612245
15;15006;Arz?;PAMPIN;101;2744;25;0.03680758
15;15006;Arz?;REY;75;2744;25;0.027332362
15;15006;Arz?;PEREZ;74;2744;25;0.02696793
15;15006;Arz?;SOUTO;78;2744;25;0.028425656
15;15006;Arz?;IGLESIAS;76;2744;25;0.027696793
15;15006;Arz?;QUINTELA;60;2744;25;0.021865889
15;15006;Arz?;VEIGA;78;2744;25;0.028425656
15;15006;Arz?;RAMOS;77;2744;25;0.028061224
15;15006;Arz?;CONDE;68;2744;25;0.024781341
15;15006;Arz?;GOMEZ;76;2744;25;0.027696793
15;15006;Arz?;SEOANE;62;2744;25;0.022594752
15;15006;Arz?;MARTINEZ;58;2744;25;0.021137026
15;15006;Arz?;TABOADA;60;2744;25;0.021865889
15;15006;Arz?;VALI?O;49;2744;25;0.017857143
15;15006;Arz?;GONZALEZ;48;2744;25;0.017492711
15;15007;A Ba?;GARCIA;152;1471;25;0.103331067
15;15007;A Ba?;ANTELO;74;1471;25;0.050305914
15;15007;A Ba?;SUAREZ;81;1471;25;0.055064582
15;15007;A Ba?;VIEITO;97;1471;25;0.065941536
15;15007;A Ba?;REY;87;1471;25;0.05914344
15;15007;A Ba?;RODRIGUEZ;89;1471;25;0.060503059
15;15007;A Ba?;VAZQUEZ;60;1471;25;0.040788579
15;15007;A Ba?;GOMEZ;66;1471;25;0.044867437
15;15007;A Ba?;BLANCO;61;1471;25;0.041468389
15;15007;A Ba?;FERNANDEZ;63;1471;25;0.042828008
15;15007;A Ba?;TORREIRA;49;1471;25;0.033310673
15;15007;A Ba?;VARELA;35;1471;25;0.023793338
15;15007;A Ba?;FORJAN;53;1471;25;0.036029912
15;15007;A Ba?;LOPEZ;41;1471;25;0.027872196
15;15007;A Ba?;PAZOS;39;1471;25;0.026512576
15;15007;A Ba?;CASTRO;36;1471;25;0.024473148
15;15007;A Ba?;PEREZ;37;1471;25;0.025152957
15;15007;A Ba?;PAREDES;50;1471;25;0.033990483
15;15007;A Ba?;MAYO;45;1471;25;0.030591434
15;15007;A Ba?;FERREIRO;53;1471;25;0.036029912
15;15007;A Ba?;BARREIRO;35;1471;25;0.023793338
15;15007;A Ba?;GERPE;46;1471;25;0.031271244
15;15007;A Ba?;QUINTANS;41;1471;25;0.027872196
15;15007;A Ba?;SILVA;46;1471;25;0.031271244
15;15007;A Ba?;NIETO;35;1471;25;0.023793338
15;15008;Bergondo;LOPEZ;213;2509;25;0.08489438
15;15008;Bergondo;GARCIA;246;2509;25;0.098047031
15;15008;Bergondo;FERNANDEZ;232;2509;25;0.092467118
15;15008;Bergondo;RODRIGUEZ;180;2509;25;0.07174173
15;15008;Bergondo;VAZQUEZ;186;2509;25;0.074133121
15;15008;Bergondo;SANCHEZ;162;2509;25;0.064567557
15;15008;Bergondo;GOMEZ;117;2509;25;0.046632124
15;15008;Bergondo;GONZALEZ;112;2509;25;0.044639299
15;15008;Bergondo;PEREZ;121;2509;25;0.048226385
15;15008;Bergondo;MARTINEZ;118;2509;25;0.04703069
15;15008;Bergondo;VARELA;80;2509;25;0.031885213
15;15008;Bergondo;DIAZ;71;2509;25;0.028298127
15;15008;Bergondo;OTERO;68;2509;25;0.027102431
15;15008;Bergondo;CARRO;67;2509;25;0.026703866
15;15008;Bergondo;CASTRO;63;2509;25;0.025109605
15;15008;Bergondo;SEIJO;60;2509;25;0.02391391
15;15008;Bergondo;MOSQUERA;56;2509;25;0.022319649
15;15008;Bergondo;REY;62;2509;25;0.02471104
15;15008;Bergondo;SOUTO;57;2509;25;0.022718214
15;15008;Bergondo;SUAREZ;38;2509;25;0.015145476
15;15008;Bergondo;VEIGA;36;2509;25;0.014348346
15;15008;Bergondo;BLANCO;35;2509;25;0.013949781
15;15008;Bergondo;IGLESIAS;41;2509;25;0.016341172
15;15008;Bergondo;MIRAMONTES;45;2509;25;0.017935432
15;15008;Bergondo;NAYA;43;2509;25;0.017138302
15;15009;Betanzos;GARCIA;484;5217;25;0.092773625
15;15009;Betanzos;SANCHEZ;446;5217;25;0.085489745
15;15009;Betanzos;LOPEZ;443;5217;25;0.084914702
15;15009;Betanzos;FERNANDEZ;446;5217;25;0.085489745
15;15009;Betanzos;VAZQUEZ;407;5217;25;0.078014184
15;15009;Betanzos;RODRIGUEZ;328;5217;25;0.062871382
15;15009;Betanzos;GOMEZ;272;5217;25;0.052137244
15;15009;Betanzos;PEREZ;242;5217;25;0.046386812
15;15009;Betanzos;MARTINEZ;215;5217;25;0.041211424
15;15009;Betanzos;GONZALEZ;182;5217;25;0.03488595
15;15009;Betanzos;OTERO;189;5217;25;0.036227717
15;15009;Betanzos;CARRO;173;5217;25;0.03316082
15;15009;Betanzos;VARELA;161;5217;25;0.030860648
15;15009;Betanzos;DIAZ;151;5217;25;0.028943837
15;15009;Betanzos;CASTRO;127;5217;25;0.024343492
15;15009;Betanzos;VEIGA;118;5217;25;0.022618363
15;15009;Betanzos;SUAREZ;108;5217;25;0.020701553
15;15009;Betanzos;REY;105;5217;25;0.020126509
15;15009;Betanzos;MOSQUERA;115;5217;25;0.02204332
15;15009;Betanzos;SEOANE;100;5217;25;0.019168104
15;15009;Betanzos;VIDAL;82;5217;25;0.015717846
15;15009;Betanzos;FRAGA;95;5217;25;0.018209699
15;15009;Betanzos;NAVEIRA;93;5217;25;0.017826337
15;15009;Betanzos;FARALDO;77;5217;25;0.01475944
15;15009;Betanzos;BARRAL;58;5217;25;0.0111175
15;15010;Boimorto;GARCIA;155;1057;25;0.146641438
15;15010;Boimorto;VAZQUEZ;124;1057;25;0.11731315
15;15010;Boimorto;LOPEZ;108;1057;25;0.10217597
15;15010;Boimorto;SANCHEZ;85;1057;25;0.080416272
15;15010;Boimorto;RODRIGUEZ;40;1057;25;0.037842952
15;15010;Boimorto;BARREIRO;45;1057;25;0.042573321
15;15010;Boimorto;VARELA;34;1057;25;0.032166509
15;15010;Boimorto;REY;36;1057;25;0.034058657
15;15010;Boimorto;TABOADA;19;1057;25;0.017975402
15;15010;Boimorto;AGUION;32;1057;25;0.030274361
15;15010;Boimorto;GOMEZ;30;1057;25;0.028382214
15;15010;Boimorto;SANDA;38;1057;25;0.035950804
15;15010;Boimorto;CASAL;29;1057;25;0.02743614
15;15010;Boimorto;FERNANDEZ;28;1057;25;0.026490066
15;15010;Boimorto;GAREA;30;1057;25;0.028382214
15;15010;Boimorto;COSTOYA;23;1057;25;0.021759697
15;15010;Boimorto;SOUTO;13;1057;25;0.012298959
15;15010;Boimorto;ARES;27;1057;25;0.025543992
15;15010;Boimorto;MONTERO;25;1057;25;0.023651845
15;15010;Boimorto;TOJO;23;1057;25;0.021759697
15;15010;Boimorto;SEOANE;28;1057;25;0.026490066
15;15010;Boimorto;CASTRO;17;1057;25;0.016083254
15;15010;Boimorto;NOVO;27;1057;25;0.025543992
15;15010;Boimorto;PEREZ;20;1057;25;0.018921476
15;15010;Boimorto;RICO;21;1057;25;0.01986755
15;15011;Boiro;GARCIA;660;8936;25;0.07385855
15;15011;Boiro;FERNANDEZ;628;8936;25;0.070277529
15;15011;Boiro;GONZALEZ;501;8936;25;0.056065354
15;15011;Boiro;PEREZ;506;8936;25;0.056624888
15;15011;Boiro;ROMERO;532;8936;25;0.059534467
15;15011;Boiro;PI?EIRO;456;8936;25;0.051029543
15;15011;Boiro;RODRIGUEZ;460;8936;25;0.051477171
15;15011;Boiro;MU?IZ;405;8936;25;0.045322292
15;15011;Boiro;SANCHEZ;409;8936;25;0.045769919
15;15011;Boiro;BLANCO;340;8936;25;0.038048344
15;15011;Boiro;VAZQUEZ;371;8936;25;0.041517457
15;15011;Boiro;SILVA;351;8936;25;0.03927932
15;15011;Boiro;HERMO;293;8936;25;0.03278872
15;15011;Boiro;OUTEIRAL;327;8936;25;0.036593554
15;15011;Boiro;TUBIO;316;8936;25;0.035362578
15;15011;Boiro;LOJO;283;8936;25;0.031669651
15;15011;Boiro;LOPEZ;285;8936;25;0.031893465
15;15011;Boiro;TRI?ANES;268;8936;25;0.029991047
15;15011;Boiro;VIDAL;267;8936;25;0.029879141
15;15011;Boiro;CASTRO;206;8936;25;0.02305282
15;15011;Boiro;TORRADO;249;8936;25;0.027864816
15;15011;Boiro;SUAREZ;222;8936;25;0.02484333
15;15011;Boiro;DIESTE;198;8936;25;0.022157565
15;15011;Boiro;MARTINEZ;194;8936;25;0.021709937
15;15011;Boiro;LORENZO;209;8936;25;0.023388541
15;15012;Boqueix?;FERNANDEZ;173;1712;25;0.101051402
15;15012;Boqueix?;RODRIGUEZ;137;1712;25;0.080023364
15;15012;Boqueix?;GARCIA;106;1712;25;0.061915888
15;15012;Boqueix?;IGLESIAS;102;1712;25;0.059579439
15;15012;Boqueix?;PEREZ;95;1712;25;0.055490654
15;15012;Boqueix?;LOPEZ;54;1712;25;0.031542056
15;15012;Boqueix?;VAZQUEZ;68;1712;25;0.039719626
15;15012;Boqueix?;MARTINEZ;70;1712;25;0.04088785
15;15012;Boqueix?;REY;65;1712;25;0.03796729
15;15012;Boqueix?;CASTRO;65;1712;25;0.03796729
15;15012;Boqueix?;GONZALEZ;69;1712;25;0.040303738
15;15012;Boqueix?;CASAL;46;1712;25;0.026869159
15;15012;Boqueix?;COUTO;54;1712;25;0.031542056
15;15012;Boqueix?;SILVA;67;1712;25;0.039135514
15;15012;Boqueix?;SANCHEZ;61;1712;25;0.035630841
15;15012;Boqueix?;OTERO;55;1712;25;0.032126168
15;15012;Boqueix?;SUAREZ;52;1712;25;0.030373832
15;15012;Boqueix?;NEIRA;63;1712;25;0.036799065
15;15012;Boqueix?;MILLAN;54;1712;25;0.031542056
15;15012;Boqueix?;MAREQUE;46;1712;25;0.026869159
15;15012;Boqueix?;TORRES;47;1712;25;0.027453271
15;15012;Boqueix?;GOMEZ;44;1712;25;0.025700935
15;15012;Boqueix?;RENDO;48;1712;25;0.028037383
15;15012;Boqueix?;FERREIRO;44;1712;25;0.025700935
15;15012;Boqueix?;VARELA;27;1712;25;0.015771028
15;15013;Bri?;GARCIA;247;2438;25;0.101312551
15;15013;Bri?;RODRIGUEZ;198;2438;25;0.08121411
15;15013;Bri?;FERNANDEZ;148;2438;25;0.060705496
15;15013;Bri?;PEREZ;144;2438;25;0.059064807
15;15013;Bri?;VAZQUEZ;122;2438;25;0.050041017
15;15013;Bri?;GONZALEZ;116;2438;25;0.047579984
15;15013;Bri?;GOMEZ;127;2438;25;0.052091879
15;15013;Bri?;LOPEZ;114;2438;25;0.046759639
15;15013;Bri?;CASTRO;109;2438;25;0.044708778
15;15013;Bri?;MARTINEZ;108;2438;25;0.044298605
15;15013;Bri?;FREIRE;104;2438;25;0.042657916
15;15013;Bri?;BLANCO;106;2438;25;0.043478261
15;15013;Bri?;SANCHEZ;91;2438;25;0.037325677
15;15013;Bri?;REY;86;2438;25;0.035274815
15;15013;Bri?;SUAREZ;62;2438;25;0.025430681
15;15013;Bri?;IGLESIAS;65;2438;25;0.026661198
15;15013;Bri?;CASAL;74;2438;25;0.030352748
15;15013;Bri?;ROMERO;60;2438;25;0.024610336
15;15013;Bri?;NIETO;56;2438;25;0.022969647
15;15013;Bri?;PAIS;43;2438;25;0.017637408
15;15013;Bri?;VIDAL;53;2438;25;0.02173913
15;15013;Bri?;ALVAREZ;51;2438;25;0.020918786
15;15013;Bri?;CALVO;44;2438;25;0.01804758
15;15013;Bri?;BOUZAS;57;2438;25;0.02337982
15;15013;Bri?;FERREIRO;53;2438;25;0.02173913
15;15014;Cabana de Berganti?s;LEMA;269;2381;25;0.11297774
15;15014;Cabana de Berganti?s;GARCIA;238;2381;25;0.099958001
15;15014;Cabana de Berganti?s;VARELA;190;2381;25;0.079798404
15;15014;Cabana de Berganti?s;MARTINEZ;117;2381;25;0.049139017
15;15014;Cabana de Berganti?s;CASTRO;129;2381;25;0.054178916
15;15014;Cabana de Berganti?s;RODRIGUEZ;146;2381;25;0.061318774
15;15014;Cabana de Berganti?s;SOUTO;115;2381;25;0.048299034
15;15014;Cabana de Berganti?s;POSE;107;2381;25;0.044939101
15;15014;Cabana de Berganti?s;VAZQUEZ;89;2381;25;0.037379252
15;15014;Cabana de Berganti?s;SUAREZ;101;2381;25;0.042419152
15;15014;Cabana de Berganti?s;BLANCO;87;2381;25;0.036539269
15;15014;Cabana de Berganti?s;AMADO;84;2381;25;0.035279294
15;15014;Cabana de Berganti?s;RAMA;82;2381;25;0.034439311
15;15014;Cabana de Berganti?s;MATO;78;2381;25;0.032759345
15;15014;Cabana de Berganti?s;FARI?A;66;2381;25;0.027719446
15;15014;Cabana de Berganti?s;FONDO;48;2381;25;0.020159597
15;15014;Cabana de Berganti?s;PEREZ;51;2381;25;0.021419572
15;15014;Cabana de Berganti?s;RIAL;45;2381;25;0.018899622
15;15014;Cabana de Berganti?s;MOREIRA;45;2381;25;0.018899622
15;15014;Cabana de Berganti?s;EIROA;58;2381;25;0.024359513
15;15014;Cabana de Berganti?s;ANDRADE;40;2381;25;0.016799664
15;15014;Cabana de Berganti?s;RIVERA;52;2381;25;0.021839563
15;15014;Cabana de Berganti?s;PARGA;55;2381;25;0.023099538
15;15014;Cabana de Berganti?s;FERNANDEZ;44;2381;25;0.01847963
15;15014;Cabana de Berganti?s;COSTA;45;2381;25;0.018899622
15;15015;Cabanas;LOPEZ;173;1400;25;0.123571429
15;15015;Cabanas;RODRIGUEZ;147;1400;25;0.105
15;15015;Cabanas;FERNANDEZ;99;1400;25;0.070714286
15;15015;Cabanas;GARCIA;95;1400;25;0.067857143
15;15015;Cabanas;MARTINEZ;72;1400;25;0.051428571
15;15015;Cabanas;VARELA;70;1400;25;0.05
15;15015;Cabanas;PEREZ;73;1400;25;0.052142857
